,2025-09-30,2025-06-30,2025-03-31,2024-12-31
FreeCashFlow,25663000000.0,25568000000.0,,
RepurchaseOfCapitalStock,-5650000000.0,-4546000000.0,,
RepaymentOfDebt,0.0,0.0,,
IssuanceOfDebt,,0.0,0.0,0.0
IssuanceOfCapitalStock,689000000.0,548000000.0,,
CapitalExpenditure,-19394000000.0,-17079000000.0,,
EndCashPosition,28849000000.0,30242000000.0,,
BeginningCashPosition,30242000000.0,28828000000.0,,
EffectOfExchangeRateChanges,-92000000.0,183000000.0,,
ChangesInCash,-1301000000.0,1231000000.0,,
FinancingCashFlow,-11799000000.0,-10844000000.0,,
CashFlowFromContinuingFinancingActivities,-11799000000.0,-10844000000.0,,
NetOtherFinancingCharges,-669000000.0,-677000000.0,,
CashDividendsPaid,-6169000000.0,-6169000000.0,,
CommonStockDividendPaid,-6169000000.0,-6169000000.0,,
NetCommonStockIssuance,-4961000000.0,-3998000000.0,,
CommonStockPayments,-5650000000.0,-4546000000.0,,
CommonStockIssuance,689000000.0,548000000.0,,
NetIssuancePaymentsOfDebt,0.0,0.0,,
NetShortTermDebtIssuance,0.0,0.0,,
ShortTermDebtPayments,,,,0.0
NetLongTermDebtIssuance,0.0,0.0,,
LongTermDebtPayments,0.0,0.0,,
LongTermDebtIssuance,,0.0,0.0,0.0
InvestingCashFlow,-34559000000.0,-30572000000.0,,
CashFlowFromContinuingInvestingActivities,-34559000000.0,-30572000000.0,,
NetOtherInvestingChanges,-6209000000.0,2642000000.0,,
NetInvestmentPurchaseAndSale,-8378000000.0,-14392000000.0,,
SaleOfInvestment,9293000000.0,7239000000.0,,
PurchaseOfInvestment,-17671000000.0,-21631000000.0,,
NetBusinessPurchaseAndSale,-578000000.0,-1743000000.0,,
PurchaseOfBusiness,-578000000.0,-1743000000.0,,
NetPPEPurchaseAndSale,-19394000000.0,-17079000000.0,,
PurchaseOfPPE,-19394000000.0,-17079000000.0,,
OperatingCashFlow,45057000000.0,42647000000.0,,
CashFlowFromContinuingOperatingActivities,45057000000.0,42647000000.0,,
ChangeInWorkingCapital,-218000000.0,3303000000.0,,
ChangeInOtherWorkingCapital,-8362000000.0,19404000000.0,,
ChangeInOtherCurrentLiabilities,-5984000000.0,4079000000.0,,
ChangeInOtherCurrentAssets,-1556000000.0,-3268000000.0,,
ChangeInPayablesAndAccruedExpense,-614000000.0,-652000000.0,,
ChangeInPayable,-614000000.0,-652000000.0,,
ChangeInAccountPayable,-614000000.0,-652000000.0,,
ChangeInTaxPayable,,,1298000000.0,-3395000000.0
ChangeInIncomeTaxPayable,,,1298000000.0,-3395000000.0
ChangeInInventory,-192000000.0,-81000000.0,,
ChangeInReceivables,16490000000.0,-16179000000.0,,
ChangesInAccountReceivables,16490000000.0,-16179000000.0,,
OtherNonCashItems,,,1006000000.0,
StockBasedCompensation,2983000000.0,3073000000.0,,
UnrealizedGainLossOnInvestmentSecurities,635000000.0,36000000.0,-135000000.0,-25000000.0
AssetImpairmentCharge,14000000.0,45000000.0,24000000.0,867000000.0
DeferredTax,2491000000.0,-2221000000.0,,
DeferredIncomeTax,2491000000.0,-2221000000.0,,
DepreciationAmortizationDepletion,13061000000.0,11203000000.0,,
DepreciationAndAmortization,13061000000.0,11203000000.0,,
Depreciation,13061000000.0,11203000000.0,,
OperatingGainsLosses,-1656000000.0,-25000000.0,,
GainLossOnInvestmentSecurities,-1656000000.0,-25000000.0,-187000000.0,134000000.0
NetIncomeFromContinuingOperations,27747000000.0,27233000000.0,,
